CaseID,SpecimenType,NucleidType,Concentration(ng),Volume(uL)
MCF10A,smallEVs,RNA,250.7564,788
WYL6O2,FFPE,RNA,387.5995,782
MCF7,smallEVs,RNA,243.9815,800
MCF10A,LargeEVs,RNA,161.5712,683
7AH21R,FrozenTissue,RNA,459.0298,756
MCF7,LargeEVs,RNA,116.1495,131
1QVZQP,FrozenTissue,RNA,63.6021,671
HpREC,LargeEVs,RNA,116.8883,216
MCF10A,Cells,RNA,176.8573,412
VEM871,FrozenTissue,RNA,475.3623,200
HpREC,smallEVs,RNA,279.8245,109
PC3,LargeEVs,RNA,333.9917,193
OZD6TF,FFPE,RNA,169.0126,871
PC3,smallEVs,RNA,29.587,498
MCF7,Cells,RNA,347.7515,515
0ZIZHF,FrozenTissue,RNA,444.6776,545
KSES51,FFPE,RNA,219.4409,383
IW92KJ,FFPE,RNA,137.8701,81
CCd19Lu,smallEVs,RNA,454.5628,110
18PSPT,FFPE,RNA,40.0934,823
AVQPCU,Blood,RNA,472.3492,342
YSIDBR,Blood,RNA,166.739,560
DY5QVH,Blood,RNA,161.5025,2
OQV3HO,Blood,RNA,239.999,228
MDECI2,FFPE,RNA,371.7698,791
XUNE85,FrozenTissue,RNA,208.0521,387
TMKAWT,FrozenTissue,RNA,488.0024,319
HpREC,Cells,RNA,349.5137,950
PC3,Cells,RNA,337.8554,897
CHE996,Blood,RNA,158.3897,851
WPQZ58,FFPE,RNA,53.1906,694
VKZRA4,FrozenTissue,RNA,448.7144,331
XVOE2R,FrozenTissue,RNA,331.4456,282
CCd19Lu,LargeEVs,RNA,378.3167,410
1EU6Z6,FFPE,RNA,304.7077,913
A549,LargeEVs,RNA,253.2171,29
CCD841con,LargeEVs,RNA,238.4747,367
TUNC4N,Blood,RNA,345.1809,602
LRO08K,FrozenTissue,RNA,93.6595,581
2ZWZRW,FrozenTissue,RNA,65.5001,871
04A7ZQ,Blood,RNA,220.331,135
TGGDWI,Blood,RNA,202.3964,868
M3A047,FFPE,RNA,426.6416,390
HT29,LargeEVs,RNA,225.8284,177
CCd19Lu,Cells,RNA,224.145,342
U47SH6,Blood,RNA,369.2777,841
A549,Cells,RNA,23.3181,300
VGCGVY,FFPE,RNA,268.8869,66
N1NQ2Q,Blood,RNA,421.2547,204
J9E63O,FrozenTissue,RNA,292.1893,406
A549,smallEVs,RNA,138.0382,998
CCD841con,smallEVs,RNA,102.8286,578
